batch_size,lr,num_epochs,training_loss,testing_accuracy
32,0.2,5,0.03855620641858938,97.0703125
32,0.2,10,0.017478417306090704,97.16796875
32,0.2,25,0.003219050991271312,97.8515625
32,0.2,50,0.001028281009833639,98.14453125
32,0.1,5,0.02716064156529804,97.0703125
32,0.1,10,0.0067961880299650754,97.55859375
32,0.1,25,0.0017280381840731327,98.2421875
32,0.1,50,0.0010673527605443572,97.8515625
32,0.05,5,0.02177447432279587,97.16796875
32,0.05,10,0.003242850975249894,97.65625
32,0.05,25,0.0007480335691943765,98.046875
32,0.05,50,0.0006128194666040751,98.046875
32,0.01,5,0.015231037646066398,97.0703125
32,0.01,10,0.0035215276062178116,96.97265625
32,0.01,25,0.0007209903654487183,97.65625
32,0.01,50,0.0005972546835740408,97.75390625
64,0.2,5,0.01778495835342134,97.01171875
64,0.2,10,0.0020084483513298132,97.5
64,0.2,25,0.0013268128731288016,97.65625
64,0.2,50,0.0008164784830684463,97.5
64,0.1,5,0.014223169999197125,96.62109375
64,0.1,10,0.003044875819546481,97.20703125
64,0.1,25,0.0006487455023840691,97.65625
64,0.1,50,0.0005230053320216636,97.65625
64,0.05,5,0.010404012901087603,97.40234375
64,0.05,10,0.0015534163755364717,97.79296875
64,0.05,25,0.00044939646815570693,97.6953125
64,0.05,50,0.00048084852448664604,97.79296875
64,0.01,5,0.012151118591427803,97.3046875
64,0.01,10,0.002473599656795462,97.20703125
64,0.01,25,0.0007369244461879135,97.01171875
64,0.01,50,0.0006286284180047611,97.5
128,0.2,5,0.008203001124163469,97.15294456481934
128,0.2,10,0.0010792533844554177,97.19801616668701
128,0.2,25,0.0005500310825494428,97.46844959259033
128,0.2,50,0.0005582059194178631,97.37079334259033
128,0.1,5,0.01076947411460181,97.19801616668701
128,0.1,10,0.0015844548330642284,97.46844959259033
128,0.1,25,0.0005466637644373501,97.46844959259033
128,0.1,50,0.00045743385554912187,97.37079334259033
128,0.05,5,0.009424721889197827,97.17548084259033
128,0.05,10,0.001507294100554039,97.46844959259033
128,0.05,25,0.0004701392389833927,97.66376209259033
128,0.05,50,0.00041099603784581026,97.66376209259033
128,0.01,5,0.016894573216636975,97.49098491668701
128,0.01,10,0.004046057002618909,97.44591331481934
128,0.01,25,0.0012937709959223867,97.54356956481934
128,0.01,50,0.0009754470457943777,97.73888206481934
256,0.2,5,0.010632837176322936,97.59563446044922
256,0.2,10,0.0017799294590950011,97.28246116638184
256,0.2,25,0.0006639085168329378,97.28246116638184
256,0.2,50,0.0005676114691110949,97.29256439208984
256,0.1,5,0.014005490809679031,97.89870643615723
256,0.1,10,0.0017171820892641942,97.46767234802246
256,0.1,25,0.0005254694997953872,97.47777366638184
256,0.1,50,0.0004684665660994748,97.47777366638184
256,0.05,5,0.011705235458910465,96.96928787231445
256,0.05,10,0.001922437135130167,97.06694412231445
256,0.05,25,0.00062953897472471,97.17470359802246
256,0.05,50,0.000577799602256467,97.16460037231445
256,0.01,5,0.032946299364169436,97.58553314208984
256,0.01,10,0.008689680088311435,97.97615814208984
256,0.01,25,0.0021665387637913227,97.67308616638184
256,0.01,50,0.001904278812929988,97.67308616638184
