batch_size,num_epochs,conv_flops,conv_bn_flops,pool_flops,fc_flops,fc_bn_flops,total_flops
16,10,3.639767040000326,0.043552767999995926,0.0031109120000001353,0.797028352000071,0.00022654800000000553,4.483685620000394
16,25,9.09941760000152,0.1088819199999843,0.007777279999998294,1.9925708799996655,0.0005663700000000557,11.209214050001167
16,5,1.8198835199999703,0.021776383999999798,0.0015554560000000522,0.3985141760000276,0.00011327399999999236,2.2418428099999974
16,50,18.19883519999935,0.21776383999996507,0.015554559999994513,3.985141759996667,0.0011327399999999232,22.418428099995975
32,10,3.639767039999942,0.04355276799999958,0.0031109120000001045,0.7970283520000552,0.0002265479999999848,4.483685619999997
32,25,9.09941760000105,0.10888191999998796,0.007777280000000348,1.9925708800001838,0.0005663700000000624,11.209214050001222
32,5,1.8198835199999726,0.021776384000000544,0.0015554560000000214,0.3985141760000117,0.00011327399999999576,2.2418428099999845
32,50,18.198835200003025,0.21776383999996873,0.015554559999996586,3.985141759999326,0.001132740000000111,22.418428100002316
64,10,3.6397670399999464,0.043552768000001074,0.0031109120000000425,0.7970283520000233,0.00022654799999999162,4.48368561999997
64,25,9.099417600000109,0.10888191999999525,0.0077772800000002855,1.9925708800001518,0.0005663699999999766,11.209214050000256
64,5,1.819883519999977,0.021776383999999725,0.0015554559999999863,0.3985141759999935,0.00011327400000000157,2.24184280999997
64,50,18.198835200002105,0.217763839999976,0.015554560000000711,3.9851417600003667,0.001132740000000124,22.418428100002448
8,10,3.639767040000561,0.04355276799999409,0.0031109119999995255,0.7970283519999187,0.0002265480000000664,4.4836856200004735
8,25,9.099417599999677,0.10888191999998247,0.007777279999997255,1.9925708799983324,0.0005663699999999617,11.209214049997989
8,5,1.8198835200001628,0.021776383999997963,0.0015554560000000676,0.3985141760000355,0.00011327400000000276,2.2418428100001964
8,50,18.19883519998446,0.21776384000042123,0.015554560000010199,3.9851417600038954,0.001132740000000192,22.418428099988787
