batch_size,lr,num_epochs,training_loss,testing_acc
32,0.2,5,0.03568933840033909,96.6796875
32,0.2,10,0.007885164377745241,97.265625
32,0.2,25,0.007233190056867897,95.80078125
32,0.2,50,0.0010884278602898121,97.75390625
32,0.1,5,0.024890173139205822,97.4609375
32,0.1,10,0.007303125275143733,97.8515625
32,0.1,25,0.0021990824484576783,97.55859375
32,0.1,50,0.0009813850125453124,98.53515625
32,0.05,5,0.019078530860133468,97.65625
32,0.05,10,0.005142791627168966,97.75390625
32,0.05,25,0.0012929283553967253,97.65625
32,0.05,50,0.0007474831724539399,97.75390625
32,0.01,5,0.014163639706249039,96.58203125
32,0.01,10,0.004515740152603636,97.16796875
32,0.01,25,0.0017358642706337074,97.265625
32,0.01,50,0.0008364752936176955,97.0703125
64,0.2,5,0.018798111165563264,96.71875
64,0.2,10,0.003538665801441918,97.75390625
64,0.2,25,0.0012766897901892661,98.046875
64,0.2,50,0.0009724728881071011,97.6953125
64,0.1,5,0.015704060166453322,96.6796875
64,0.1,10,0.003061403776053339,97.6953125
64,0.1,25,0.0010701422473260512,97.6953125
64,0.1,50,0.0007362848930060863,97.109375
64,0.05,5,0.009226205874234438,96.81640625
64,0.05,10,0.0031160496656472483,97.3046875
64,0.05,25,0.0008518001001793891,97.6953125
64,0.05,50,0.0007564207686421772,97.59765625
64,0.01,5,0.008056599359959364,97.01171875
64,0.01,10,0.003938648510724306,97.01171875
64,0.01,25,0.001366405508480966,97.01171875
64,0.01,50,0.0011196909655506412,96.42578125
128,0.2,5,0.014730214186012745,96.76231956481934
128,0.2,10,0.004195980903382103,96.92758369445801
128,0.2,25,0.0008975691893137991,97.27313709259033
128,0.2,50,0.0008196142533173164,97.58864116668701
128,0.1,5,0.009304026866952577,97.39332866668701
128,0.1,10,0.002844295568143328,97.68629741668701
128,0.1,25,0.0007845272834723194,96.56700706481934
128,0.1,50,0.0007430170703058442,97.49098491668701
128,0.05,5,0.010853722634414831,96.64212703704834
128,0.05,10,0.0031761711463332174,97.05528831481934
128,0.05,25,0.0009540150583100816,97.17548084259033
128,0.05,50,0.0008652431129788359,97.00270366668701
128,0.01,5,0.012126112960278988,96.41676616668701
128,0.01,10,0.008355882234871388,95.98106956481934
128,0.01,25,0.0019506341634939115,96.34915828704834
128,0.01,50,0.0018204453933673601,97.13040828704834
256,0.2,5,0.013436659549673399,96.57866287231445
256,0.2,10,0.00491343138118585,97.09725189208984
256,0.2,25,0.0009488276954119404,97.70339393615723
256,0.2,50,0.0007894956460222602,97.29256439208984
256,0.1,5,0.012883831448853016,96.87163162231445
256,0.1,10,0.0046306060515344145,97.26225662231445
256,0.1,25,0.0009982400331646204,97.50808143615723
256,0.1,50,0.0007754108846808473,97.30266571044922
256,0.05,5,0.008457343862702449,96.88173484802246
256,0.05,10,0.00444073045005401,96.88173484802246
256,0.05,25,0.0012225802938143412,96.90193939208984
256,0.05,50,0.0010680249650031328,96.96928787231445
256,0.01,5,0.026562535807490347,95.55158996582031
256,0.01,10,0.01783500965933005,96.01292991638184
256,0.01,25,0.003889474558333556,95.69975662231445
256,0.01,50,0.0034339012938241166,96.47090530395508
